Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
BillzCrollUpDoor5x4_PoweredGrey,blocks,Variant,,,"Grey Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredBlack,blocks,Variant,,,"Black Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredPink,blocks,Variant,,,"Pink Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,

BillzCrollUpDoor7x4_PoweredWhite,blocks,Variant,,,"White Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredBrown,blocks,Variant,,,"Brown Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredRed,blocks,Variant,,,"Red Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredOrange,blocks,Variant,,,"Orange Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredYellow,blocks,Variant,,,"Yellow Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredGreen,blocks,Variant,,,"Green Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredBlue,blocks,Variant,,,"Blue Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredPurple,blocks,Variant,,,"Purple Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredGrey,blocks,Variant,,,"Grey Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredBlack,blocks,Variant,,,"Black Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4_PoweredPink,blocks,Variant,,,"Pink Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
